,ID,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,subscribed_clf,subscribed_log
0,38441,32,services,married,secondary,no,118,yes,no,cellular,15,may,20,6,-1,0,no,no
1,40403,78,retired,divorced,primary,no,2787,no,no,telephone,1,jul,372,1,-1,0,no,yes
2,3709,31,self-employed,single,tertiary,no,144,yes,no,unknown,16,may,676,1,-1,0,no,no
3,37422,57,services,single,primary,no,3777,yes,no,telephone,13,may,65,2,-1,0,no,no
4,12527,45,blue-collar,divorced,secondary,no,-705,no,yes,unknown,3,jul,111,1,-1,0,no,no
5,16013,32,management,single,tertiary,no,0,yes,no,cellular,22,jul,455,2,-1,0,no,no
6,196,33,blue-collar,single,secondary,no,307,yes,no,unknown,5,may,309,2,-1,0,no,no
7,8516,37,management,married,secondary,no,341,no,no,unknown,3,jun,120,2,-1,0,no,no
8,31208,36,technician,divorced,tertiary,no,1381,no,no,cellular,2,mar,149,1,-1,0,yes,no
9,38462,50,admin.,single,primary,no,181,yes,no,cellular,15,may,119,4,372,3,no,no
10,17041,34,blue-collar,married,primary,no,654,no,no,cellular,25,jul,152,1,-1,0,no,no
11,4920,33,management,married,tertiary,no,188,yes,no,unknown,21,may,136,1,-1,0,no,no
12,802,40,blue-collar,divorced,secondary,no,139,yes,no,unknown,7,may,91,1,-1,0,no,no
13,1738,35,technician,married,secondary,no,55,yes,no,unknown,9,may,79,4,-1,0,no,no
14,9565,53,management,married,unknown,no,12001,no,no,unknown,6,jun,207,1,-1,0,no,no
15,29743,59,unemployed,single,secondary,no,865,no,no,cellular,4,feb,1086,1,-1,0,no,yes
16,34946,27,technician,single,secondary,no,2,yes,yes,cellular,6,may,554,2,356,1,no,no
17,1671,32,services,married,secondary,no,2068,yes,yes,unknown,9,may,143,1,-1,0,no,no
18,2868,53,blue-collar,married,secondary,no,5700,yes,no,unknown,14,may,97,1,-1,0,no,no
19,6478,32,management,single,tertiary,no,1410,yes,no,unknown,27,may,175,5,-1,0,no,no
20,1572,32,management,single,tertiary,no,394,yes,no,unknown,8,may,466,2,-1,0,no,no
21,44771,37,services,single,tertiary,no,1189,no,no,cellular,13,sep,323,9,199,4,no,no
22,30088,46,blue-collar,married,primary,no,580,yes,no,telephone,4,feb,30,2,-1,0,no,no
23,19021,58,retired,married,secondary,no,983,no,no,cellular,5,aug,139,1,-1,0,no,no
24,15704,32,services,married,primary,no,228,yes,no,cellular,21,jul,1017,6,-1,0,no,no
25,39812,54,services,divorced,secondary,no,0,no,no,cellular,1,jun,174,1,81,2,yes,no
26,21170,51,management,married,tertiary,no,-892,yes,yes,cellular,14,aug,248,2,-1,0,no,no
27,923,37,self-employed,married,tertiary,no,444,yes,no,unknown,7,may,401,2,-1,0,no,no
28,17887,26,admin.,single,secondary,yes,-42,no,yes,cellular,30,jul,305,3,-1,0,no,no
29,6778,40,admin.,divorced,secondary,no,-541,yes,yes,unknown,28,may,270,4,-1,0,no,no
30,18586,56,blue-collar,married,secondary,no,1362,no,no,telephone,31,jul,345,1,-1,0,no,no
31,7501,38,management,single,tertiary,no,6836,yes,no,unknown,29,may,374,4,-1,0,no,no
32,13932,58,management,divorced,tertiary,no,0,no,no,telephone,10,jul,227,7,-1,0,no,no
33,16318,48,technician,married,secondary,no,480,no,yes,cellular,23,jul,371,1,-1,0,no,no
34,8055,39,blue-collar,married,primary,no,1802,yes,no,unknown,2,jun,490,1,-1,0,no,no
35,39970,41,blue-collar,married,secondary,no,140,yes,no,cellular,3,jun,96,1,125,2,no,no
36,5903,34,blue-collar,divorced,secondary,no,-566,yes,no,unknown,26,may,248,2,-1,0,no,no
37,8507,40,blue-collar,married,primary,no,1698,yes,yes,unknown,3,jun,240,5,-1,0,no,no
38,27726,38,management,married,tertiary,no,0,yes,no,telephone,12,dec,136,1,-1,0,no,no
39,28430,58,unemployed,divorced,primary,no,414,no,no,cellular,29,jan,267,1,-1,0,no,no
40,3157,26,blue-collar,single,secondary,no,786,yes,yes,unknown,14,may,103,5,-1,0,no,no
41,40327,27,services,single,secondary,no,246,no,no,cellular,17,jun,453,2,-1,0,no,no
42,17768,29,technician,single,tertiary,no,262,yes,yes,cellular,29,jul,510,9,-1,0,no,no
43,44637,45,services,divorced,primary,no,523,no,no,telephone,1,sep,380,4,371,4,yes,yes
44,28671,35,blue-collar,married,secondary,no,6411,yes,yes,cellular,30,jan,144,1,266,2,no,no
45,6074,27,technician,married,secondary,no,639,yes,no,unknown,26,may,633,1,-1,0,no,no
46,44392,56,services,married,secondary,no,1989,no,no,cellular,3,aug,279,4,181,4,yes,no
47,22711,43,technician,married,secondary,no,246,no,no,cellular,25,aug,113,6,-1,0,no,no
48,41313,25,admin.,single,tertiary,no,11,no,yes,cellular,27,aug,236,3,-1,0,yes,no
49,32038,33,admin.,single,secondary,no,572,yes,no,cellular,14,apr,344,1,74,2,no,no
50,23107,42,housemaid,married,tertiary,no,0,no,no,cellular,26,aug,112,10,-1,0,no,no
51,5702,39,blue-collar,married,unknown,no,0,yes,no,unknown,26,may,470,1,-1,0,no,no
52,33330,59,management,married,tertiary,no,287,yes,no,cellular,20,apr,818,2,242,8,yes,no
53,22357,46,housemaid,single,tertiary,no,1328,no,no,cellular,22,aug,1241,2,-1,0,no,yes
54,10518,47,blue-collar,divorced,primary,no,7,no,yes,unknown,16,jun,219,7,-1,0,no,no
55,17096,36,management,married,tertiary,no,909,yes,yes,cellular,25,jul,250,3,-1,0,no,no
56,43876,56,admin.,married,secondary,no,699,no,no,unknown,7,jun,54,1,-1,0,no,no
57,16970,53,housemaid,married,secondary,no,559,yes,no,telephone,25,jul,182,1,-1,0,no,no
58,29949,37,services,single,secondary,no,1045,no,no,cellular,4,feb,301,1,-1,0,no,no
59,13281,30,self-employed,married,secondary,no,57,no,yes,cellular,8,jul,55,2,-1,0,no,no
60,8266,36,blue-collar,married,secondary,no,63,yes,no,unknown,2,jun,56,8,-1,0,no,no
61,15089,31,blue-collar,single,primary,no,528,yes,no,cellular,17,jul,143,1,-1,0,no,no
62,20091,54,technician,divorced,secondary,no,221,no,no,cellular,11,aug,413,2,-1,0,no,no
63,17458,36,management,single,tertiary,no,13315,no,no,cellular,28,jul,43,8,-1,0,no,no
64,10378,47,housemaid,divorced,secondary,no,1453,no,no,unknown,12,jun,303,1,-1,0,no,no
65,27033,32,admin.,single,secondary,no,2817,yes,no,cellular,21,nov,195,1,-1,0,no,no
66,29228,35,services,married,secondary,no,630,yes,no,cellular,2,feb,134,1,271,2,no,no
67,9839,45,technician,married,primary,no,-322,no,no,unknown,9,jun,225,2,-1,0,no,no
68,2477,45,technician,married,secondary,no,639,yes,no,unknown,13,may,192,1,-1,0,no,no
69,20206,53,services,married,secondary,no,1242,no,no,cellular,11,aug,168,2,-1,0,no,no
70,10782,59,retired,married,primary,no,0,no,no,unknown,17,jun,192,1,-1,0,no,no
71,25825,44,management,divorced,secondary,no,0,yes,no,telephone,19,nov,319,1,-1,0,no,no
72,20256,45,technician,married,tertiary,no,548,no,no,cellular,11,aug,108,4,-1,0,no,no
73,1317,44,blue-collar,single,secondary,no,36,yes,no,unknown,8,may,712,1,-1,0,no,no
74,38949,47,technician,married,secondary,no,179,yes,no,cellular,18,may,55,1,-1,0,no,no
75,35365,25,admin.,single,secondary,no,122,yes,no,cellular,7,may,481,2,-1,0,no,no
76,22834,59,retired,married,primary,no,255,no,yes,cellular,25,aug,62,6,-1,0,no,no
77,988,42,entrepreneur,married,tertiary,no,157,yes,yes,unknown,7,may,650,1,-1,0,no,no
78,16241,46,management,married,tertiary,no,99,yes,no,cellular,23,jul,569,1,-1,0,no,no
79,30947,40,entrepreneur,divorced,secondary,no,201,yes,no,cellular,9,feb,25,2,-1,0,no,no
80,24402,39,management,single,primary,no,0,yes,yes,cellular,17,nov,62,1,-1,0,no,no
81,42898,28,services,single,secondary,no,1059,no,no,cellular,4,feb,146,5,276,1,yes,no
82,30794,30,blue-collar,single,secondary,no,522,no,no,cellular,6,feb,197,3,-1,0,no,no
83,31755,54,blue-collar,married,secondary,no,5521,yes,no,cellular,7,apr,581,2,-1,0,no,no
84,41412,32,admin.,married,secondary,no,995,no,no,cellular,3,sep,331,1,99,2,no,yes
85,22497,49,admin.,married,secondary,no,682,no,no,cellular,22,aug,86,4,-1,0,no,no
86,40939,30,unemployed,single,tertiary,no,1159,no,no,cellular,12,aug,95,1,68,1,no,yes
87,4834,34,technician,single,secondary,no,1161,yes,no,unknown,21,may,192,1,-1,0,no,no
88,32014,59,blue-collar,married,primary,no,11066,no,no,telephone,14,apr,86,6,-1,0,no,no
89,13584,33,admin.,married,secondary,no,0,yes,yes,cellular,9,jul,160,1,-1,0,no,no
90,14004,29,blue-collar,single,secondary,no,482,no,yes,cellular,10,jul,1097,3,-1,0,yes,yes
91,4204,20,student,single,secondary,no,67,yes,no,unknown,19,may,387,1,-1,0,no,no
92,20358,50,blue-collar,married,primary,no,0,no,no,cellular,11,aug,72,5,-1,0,no,no
93,1938,29,blue-collar,married,primary,no,608,yes,no,unknown,9,may,184,2,-1,0,no,no
94,39385,39,technician,married,secondary,no,2266,no,no,cellular,22,may,86,1,93,4,no,no
95,26264,33,blue-collar,married,primary,no,0,yes,no,cellular,20,nov,173,1,-1,0,no,no
96,24359,46,management,single,tertiary,no,46,no,yes,cellular,17,nov,80,1,152,1,no,no
97,25605,32,unemployed,single,tertiary,no,1611,yes,no,cellular,19,nov,175,1,180,2,no,no
98,6306,25,technician,married,unknown,no,776,yes,no,unknown,27,may,290,1,-1,0,no,no
99,34217,36,technician,married,tertiary,no,911,yes,yes,cellular,4,may,275,3,-1,0,yes,no
100,30533,31,blue-collar,married,primary,no,1738,no,no,telephone,5,feb,895,3,-1,0,no,yes
101,13893,28,admin.,single,secondary,no,-170,no,yes,cellular,10,jul,720,2,-1,0,no,no
102,21255,60,blue-collar,married,secondary,no,3122,no,no,telephone,18,aug,51,12,-1,0,no,no
103,3318,54,entrepreneur,married,secondary,no,653,yes,no,unknown,15,may,352,1,-1,0,no,no
104,18406,41,blue-collar,married,secondary,no,4900,yes,no,telephone,31,jul,121,2,-1,0,no,no
105,35176,24,services,single,secondary,no,14,yes,no,cellular,7,may,241,1,-1,0,no,no
106,876,32,blue-collar,divorced,primary,no,473,yes,no,unknown,7,may,204,2,-1,0,no,no
107,39785,34,admin.,single,secondary,no,528,no,no,cellular,1,jun,165,1,124,1,yes,no
108,28104,30,technician,single,secondary,no,800,no,no,telephone,28,jan,60,2,-1,0,no,no
